slim_id	slim_name	entrez_gene_id	Gene	direction
DOID:1612	breast cancer	7553	ZNF7	up
DOID:1612	breast cancer	27299	ADAMDEC1	up
DOID:1612	breast cancer	7414	VCL	down
DOID:1612	breast cancer	27190	IL17B	down
DOID:1612	breast cancer	5111	PCNA	down
DOID:1612	breast cancer	6236	RRAD	down
DOID:1612	breast cancer	64761	PARP12	up
DOID:1612	breast cancer	81873	ARPC5L	up
DOID:1612	breast cancer	57161	PELI2	down
DOID:1612	breast cancer	5033	P4HA1	up
DOID:1612	breast cancer	5062	PAK2	down
DOID:1612	breast cancer	26521	TIMM8B	up
DOID:1612	breast cancer	7869	SEMA3B	down
DOID:1612	breast cancer	7855	FZD5	down
DOID:1612	breast cancer	103910	MYL12B	down
DOID:1612	breast cancer	1910	EDNRB	up
DOID:1612	breast cancer	1933	EEF1B2	down
DOID:2531	hematologic cancer	25797	QPCT	down
DOID:2531	hematologic cancer	10923	SUB1	up
DOID:2531	hematologic cancer	23468	CBX5	up
DOID:2531	hematologic cancer	10732	TCFL5	up
DOID:2531	hematologic cancer	10788	IQGAP2	up
DOID:2531	hematologic cancer	23774	BRD1	up
DOID:2531	hematologic cancer	25939	SAMHD1	down
DOID:2531	hematologic cancer	7009	TMBIM6	down
DOID:2531	hematologic cancer	23433	RHOQ	down
DOID:2531	hematologic cancer	23385	NCSTN	down
DOID:2531	hematologic cancer	23240	KIAA0922	up
DOID:2531	hematologic cancer	2145	EZH1	up
DOID:2531	hematologic cancer	10130	PDIA6	down
DOID:2531	hematologic cancer	10124	ARL4A	down
DOID:2531	hematologic cancer	8106	PABPN1	up
DOID:2531	hematologic cancer	79762	C1orf115	down
DOID:2531	hematologic cancer	8175	SF3A2	up
DOID:2531	hematologic cancer	9692	KIAA0391	up
DOID:2531	hematologic cancer	79683	ZDHHC14	down
DOID:2531	hematologic cancer	2004	ELK3	up
DOID:2531	hematologic cancer	8349	HIST2H2BE	up
DOID:2531	hematologic cancer	22926	ATF6	down
DOID:2531	hematologic cancer	84061	MAGT1	down
DOID:2531	hematologic cancer	3676	ITGA4	up
DOID:2531	hematologic cancer	9200	PTPLA	up
DOID:2531	hematologic cancer	9214	FAIM3	up
DOID:2531	hematologic cancer	116496	FAM129A	down
DOID:2531	hematologic cancer	3755	KCNG1	down
DOID:2531	hematologic cancer	10483	SEC23B	down
DOID:2531	hematologic cancer	55247	NEIL3	up
DOID:2531	hematologic cancer	9112	MTA1	up
DOID:2531	hematologic cancer	3069	HDLBP	down
DOID:2531	hematologic cancer	3074	HEXB	down
DOID:2531	hematologic cancer	56937	PMEPA1	down
DOID:2531	hematologic cancer	3097	HIVEP2	up
DOID:2531	hematologic cancer	54069	MIS18A	up
DOID:2531	hematologic cancer	10241	CALCOCO2	up
DOID:2531	hematologic cancer	55082	ARGLU1	up
DOID:2531	hematologic cancer	55092	TMEM51	down
DOID:2531	hematologic cancer	1843	DUSP1	up
DOID:2531	hematologic cancer	1847	DUSP5	down
DOID:2531	hematologic cancer	523	ATP6V1A	down
DOID:2531	hematologic cancer	571	BACH1	up
DOID:2531	hematologic cancer	8975	USP13	up
DOID:2531	hematologic cancer	4669	NAGLU	down
DOID:2531	hematologic cancer	51447	IP6K2	up
DOID:2531	hematologic cancer	444	ASPH	down
DOID:2531	hematologic cancer	1777	DNASE2	down
DOID:2531	hematologic cancer	55840	EAF2	up
DOID:2531	hematologic cancer	55858	TMEM165	down
DOID:2531	hematologic cancer	307	ANXA4	down
DOID:2531	hematologic cancer	1606	DGKA	up
DOID:2531	hematologic cancer	4942	OAT	down
DOID:2531	hematologic cancer	55520	ELAC1	up
DOID:2531	hematologic cancer	375	ARF1	up
DOID:2531	hematologic cancer	51176	LEF1	up
DOID:2531	hematologic cancer	51167	CYB5R4	up
DOID:2531	hematologic cancer	214	ALCAM	down
DOID:2531	hematologic cancer	217	ALDH2	down
DOID:2531	hematologic cancer	1523	CUX1	up
DOID:2531	hematologic cancer	1486	CTBS	down
DOID:2531	hematologic cancer	1471	CST3	down
DOID:2531	hematologic cancer	5883	RAD9A	up
DOID:2531	hematologic cancer	939	CD27	up
DOID:2531	hematologic cancer	989	SEPT7	up
DOID:2531	hematologic cancer	8531	CSDA	up
DOID:2531	hematologic cancer	8566	PDXK	down
DOID:2531	hematologic cancer	5799	PTPRN2	down
DOID:2531	hematologic cancer	821	CANX	up
DOID:2531	hematologic cancer	8609	KLF7	up
